Row Labels,Top 100 Singles,Highest Position
Mumford & Sons,10,12
The Pretenders,10,5
Playmates,10,4
Harry Nilsson,10,1
Naughty By Nature,10,6
Notorious B.I.G.,11,1
New Colony Six,10,16
Maxine Brown,10,19
Phil Vassar,10,35
Peter Gabriel,11,1
N'Sync,10,1
Killers,10,10
Lupe Fiasco,10,9
Little Milton,10,25
Kingsmen,10,2
Led Zeppelin,10,4
M.C. Hammer,10,2
Leif Garrett,10,10
Joni Mitchell,10,7
Josh Turner,10,35
Loggins & Messina,10,4
Keyshia Cole,10,7
Lloyd Price,10,1
Leo Sayer,10,1
Jets,10,3
John Waite,10,1
John Michael Montgomery,10,24
Jason DeRulo,10,1
Guy Mitchell,10,1
Harold Melvin & The Blue Notes,10,3
Jo Dee Messina,10,25
Jim Croce,10,1
Hilltoppers,10,3
Jeffrey Osborne,10,13
George Hamilton IV,10,6
Gino Vannelli,10,4
Dramatics,10,5
Foghat,10,20
Fabian,10,3
Foo Fighters,10,18
Don McLean,10,1
Eddie Floyd,10,17
Dru Hill,10,3
Candi Staton,10,20
Della Reese,10,2
Dee Clark,10,2
Culture Club,10,1
Chiffons,10,1
Charley Pride,10,21
Christopher Cross,10,1
Diana Ross & The Supremes,10,1
Corey Hart,10,3
Colbie Caillat,10,5
Chic,10,1
Clay Walker,10,39
Dawn,10,1
Color Me Badd,10,1
Bonnie Raitt,11,5
Box Tops,10,1
Boston,10,1
Amy Grant,10,1
3OH-3,10,7
Bobby Helms,10,6
Blood, Sweat & Tears,10
Atlantic Starr,10,1
Bow Wow,10,3
Bobby Sherman,10,3
Alabama,10,15
Blondie,14,1
Barbara Lewis,10,3
3 Doors Down,10,3
Wyclef Jean,9,7
The (Young) Rascals,18,1
The Yardbirds,9,6
Warrant,9,2
Tears for Fears,9,1
Tyga,9,7
Xscape,9,2
Willie Mitchell,9,23
Ying Yang Twins,9,9
Steve Alaimo,9,46
Sweet,9,3
Tracy Byrd,9,26
Sandy Nelson,9,4
Rascals,9,1
Roy Hamilton,9,6
Sean Kingston,9,1
Spanky & Our Gang,9,9
Roberta Flack,9,1
Silk,9,1
Shalamar,9,8
Rufus Thomas,9,10
Rare Earth,9,4
Sade,9,5
Sam The Sham & The Pharaohs,9,2
Robert John,9,1
Sara Evans,9,33
Ray Peterson,9,7
Rick Astley,9,1
McCoys,9,1
Paramore,9,24
Melissa Etheridge,9,8
Ohio Express,9,4
Nancy Wilson,9,11
Paul Young,9,1
Orlons,9,2
Mills Brothers,9,21
Pablo Cruise,9,6
Meat Loaf,9,1
Partridge Family,9,1
Melanie,9,1
Patti LaBelle,9,17
Michael Buble,9,24
OneRepublic,9,2
New Seekers,9,7
Kenny G,9,4
Marv Johnson,9,9
Lulu,9,1
Lenny Welch,9,4
Lifehouse,9,2
Master P,9,16
Lee Dorsey,9,7
Kid Cudi,9,3
Jagged Edge,9,6
Gwen Stefani,9,1
Jake Owen,9,21
Ice Cube,9,15
Jewel,9,2
Joan Jett and the Blackhearts,10,1
Johnny & The Hurricanes,9,5
Jerry Vale,9,14
Happenings,9,3
John Cafferty & The Beaver Brown Band,9,7
Fixx,9,4
England Dan & John Ford Coley,9,2
Emotions,9,1
Dion & The Belmonts,9,3
Dr. Dre,9,2
Don Cornell,9,7
Fray,9,3
Chaka Khan,11,3
Danny & The Juniors,9,1
Ce Ce Peniston,9,5
Buddy Knox,9,1
Brian McKnight,9,2
Deborah Cox,9,2
Chris Cagle,9,35
Curtis Mayfield,9,4
Crests,9,2
Dee Dee Sharp,9,2
Darius Rucker,9,15
Burl Ives,9,9
Contours,9,3
10cc,9,2
Albert Hammond,9,5
Adam Lambert,9,10
Billy Joe Royal,9,9
Betty Johnson,9,9
Bobby Freeman,9,5
Belinda Carlisle,9,1
After 7,9,6
Bobby Womack,14,10
Bachelors,9,10
Bar-Kays,9,17
Barbara Lynn,9,8
Tanya Tucker,8,37
Wet Willie,8,10
Stephen Stills,8,14
Total,8,7
