Row Labels,Top 100 Singles,Highest Position
B.E. Taylor Group,2,66
Billy Vera & Judy Clay,2,36
B.J. Thomas & The Triumphs,2,8
Bjork,2,84
2 in a Room,2,15
Black Sheep,2,57
Baby,2,33
Blaque,2,5
Alan Dale,2,10
Blue October,2,31
707,2,52
Angel,2,44
Alan O'Day,2,1
Bob & Earl,2,44
Bad Meets Evil,2,4
Ad Libs,2,8
Alannah Myles,2,1
Anna Kendrick,2,6
Baha Men,2,40
Bobby Fuller Four,2,9
95 South,2,11
Bobby Powell,2,76
Balance,2,22
Anthony Hamilton,2,19
Albert King,2,67
Boots Randolph,2,77
Aldo Nova,2,23
Bourgeois Tagg,2,38
Bang,2,90
Boy Krazy,2,18
Barbara Fairchild,2,32
Brass Construction,2,14
Barbarians,2,55
AFI,2,24
Alfonzo Hunter,2,85
Billy Gilman,2,38
Barbra Streisand & Barry Gibb,2,3
Ana,2,66
Barden Bellas,2,85
Billy Satellite,2,64
Ali Thomson,2,15
Andre Williams,2,90
A Perfect Circle,2,61
Billy Vera & The Beaters,2,1
Barry DeVorzon & Perry Botkin, Jr.,2
Bingoboys,2,25
Alicia Bridges,2,5
Black Moon,2,86
Batdorf & Rodney,2,69
Black Sabbath,2,52
Alison Moyet,2,31
Blackgirl,2,71
Beatnuts,2,84
Andy Grammer,2,53
Beats International,2,76
Ace,2,3
Alive & Kicking,2,7
Blue Cheer,2,14
All Saints,2,4
Blue Ridge Rangers,2,16
All Sports Band,2,78
Blues Image,2,4
Belle Stars,2,14
Blues Traveler,2,0
Allan Clarke,2,41
Bo Bice,2,2
Belouis Some,2,67
Bob Beckham,2,32
Ben Folds Five,2,71
Angie Martinez,2,15
Benny Mardones,2,11
Adam Faith,2,31
Bent Fabric,2,7
Bobbie Gentry & Glen Campbell,2,27
A+,2,63
Anna Nalick,2,45
Bernadette Peters,2,31
Bobby Edwards,2,11
Bernie Lowe,2,46
Bobby Gregg & His Friends,2,29
Allure,2,4
Wednesday,2,34
Bertie Higgins,2,8
Bobby Russell,2,28
Betty Everett & Jerry Butler,2,5
Another Bad Creation,2,9
Aaron Carter,2,35
3rd Party,2,43
Aaron Lewis,2,56
April Stevens,2,86
Big Audio Dynamite II,2,32
Boots Randolph & His Combo,2,35
Amanda Perez,2,20
Bounty Killer,2,79
A'me Lorain,2,9
Aqua,2,7
AB Logic,2,60
Boy George,2,15
Bill Champlin,2,55
Arcadia,2,6
Bill Conti,2,1
Adventures of Stevie V,2,25
Bill Hayes,2,1
Brass Ring,2,32
Bill Justis,2,2
Breakfast Club,2,7
Billie Jo Spears,2,78
Billie Ray Martin,2,46
2nd II None,2,64
Walter Schumann,1,14
Woolies,1,95
Sundown Company,1,84
TQ,1,12
Yutaka,1,81
Tangier,1,67
Steel Magnolia,1,68
Tijuana Brass,1,6
Stoney & Meatloaf,1,71
Tracey Lee,1,55
Super Cat,1,0
Tina Arena,1,38
Tommy Sands & The Raiders,1,50
Tina Robin,1,95
Swallows,1,100
Tractors,1,0
Thalia,1,22
Tanya Blount,1,90
Will Champlin,1,83
T.P.E.,1,91
Third Rail,1,53
Tim Curry,1,91
Yael Naim,1,7
Trade Martin,1,28
Sweet Dreams,1,68
Tim Davis,1,91
Tane Cain,1,37
Tradewinds,1,91
Wallace Brothers,1,97
Susan Christie,1,63
Sugar Pie DeSanto,1,48
Toni Childs,1,72
Tragedy, Capone & Infinite,1
Wendy Moten,1,55
Streek,1,47
Timex Social Club,1,8
Traits,1,94
Thee Midniters,1,67
Tarriers,1,4
Willi One Blood,1,0
Transvision Vamp,1,87
Wilmer & The Dukes,1,80
Trans-X,1,61
Wolf,1,55
Trapp,1,77
Thirty Eight Special,1,6
Titiyo,1,42
Yazoo,1,73
Tim Hardin,1,50
Yolanda Be Cool & Dcup,1,29
Tab Smith,1,89
Ta Mara & The Seen,1,24
Statues,1,84
Toy Dolls,1,84
Travis & Bob,1,8
Wade Flemons & The Newcomers,1,80
Tasha Holiday,1,93
Sugababes,1,96
Tasha Thomas,1,91
Terry Black & Laurel Ward,1,57
Tasmin Archer,1,32
Sugar Bears,1,51
Tre,1,77
Warren Storm,1,81
Tree Swingers,1,73
Tamar,1,89
Tassels,1,55
WC & The MAAD Circle,1,0
Trent Tomlinson,1,90
The Weeknd,1,53
Trey Lorenz,1,19
Timetones,1,51
To Be Continued..,1,70
Whatnauts & The Whatnaut Band,1,99
Swirl 360,1,47
Sylvia & The Moments,1,80
Tricia Leigh Fisher,1,72
Whitney Houston & Enrique Iglesias,1,52
Streets,1,87
Wild-Cats,1,57
Taco,1,4
Will Young,1,81
Trick-Trick,1,100
Willie Henderson,1,73
Tobin Mathews & Co.,1,30
Will-O-Bees,1,95
Trilogy,1,82
Wilton Place Street Band,1,24
Tatyana Ali,1,6
Wiseguys,1,31
Trina & Tamara,1,56
Wonder Girls,1,76
Steve Gibbons Band,1,72
Tammy Cochran,1,73
Trinidad James,1,36
XTC,1,72
Triplets,1,14
Tammy Montgomery,1,99
Strokes,1,98
Yello,1,51
Steve Gibson & The Red Caps,1,63
Ylvis,1,6
Tag,1,63
t.A.T.u.,1,20
Steve Greenberg,1,97
T.W.D.Y.,1,90
Trolls,1,96
Susan Raye,1,54
Tico & The Triumphs,1,99
Three Playmates,1,89
Troop 41,1,76
Zager & Evans,1,1
Trooper,1,59
Zombie Nation,1,99
Troy Keyes,1,92
Wadsworth Mansion,1,7
Troy Newman,1,92
Terror Fabulous,1,43
T-Boz,1,40
Tommy Shane Steiner,1,39
Toby Keith & Sting,1,84
Susan Jacks,1,90
Trumpeteers,1,64
Walter Murphy & The Big Apple Band,1,1
TRUSTcompany,1,91
Terry Bradshaw,1,91
Truth,1,65
Terry Dexter,1,99
Truth Hurts,1,9
Warren G & Nate Dogg,1,2
Teairra Mari,1,35
Terry Gilkyson & The Easy Riders,1,4
Tuesdays,1,55
Timelords,1,66
Tufano & Giammarese,1,68
Tiggi Clay,1,86
Tune Rockers,1,44
Wayne Wonder,1,11
Tune Weavers,1,5
Tessanne Chin,1,64
Strollers,1,91
Webbie, Lil' Phat & Lil' Boosie,1
Tupac & Eminem,1,80
Texans,1,100
Tupac & Mopreme,1,87
Tony Bellus,1,25
Tupac + Outlawz,1,72
Texas,1,77
What Is This,1,62
Turbans,1,33
Whirlwind,1,91
Steve Harley & Cockney Rebel,1,96
The 'Unforgettable' Sound of Dick Hyman Trio,1,8
Techniques,1,29
White Town,1,23
Tuxedo Junction,1,32
Whitney Houston & CeCe Winans,1,8
Toby Keith & Willie Nelson,1,22
Sunny & The Sunglows,1,11
Twennynine,1,83
Thee Prophets,1,49
Twilight 22,1,79
Wildweeds,1,88
Twinz,1,0
Timmie 'Oh Yeah' Rogers,1,36
Studio All-Stars,1,52
will.i.am & Nicki Minaj,1,24
Toby Love,1,100
Tamiko Jones,1,60
Ted Heath & His Music,1,52
Sweden Heaven & Hell Soundtrack & Piero Umiliani,1,55
Tycoon,1,26
Willie Tee,1,97
Today's People,1,90
Willows,1,62
Tyga & Justin Bieber,1,68
Tamiko Jones & Herbie Mann,1,88
Ted Newman,1,45
Wing & A Prayer Fife & Drum Corps,1,14
Tyler Farr,1,29
Sweetbox,1,46
Stylers,1,72
Witch Queen,1,68
Tyrannosaurus Rex,1,76
Womenfolk,1,83
Suzanne Fellini,1,87
Wonders,1,41
Styles,1,22
World Party,1,27
Stevie Wonder & Michael Jackson,1,80
Wyatt Earp McPherson,1,97
U.S. 1,1,91
Tool,1,67
U.S. Bonds,1,6
Thirty Seconds to Mars,1,99
Together,1,86
Tora Tora,1,86
U2 & B.B. King,1,68
Yasmin,1,76
U2 & Green Day,1,51
YC,1,42
Ted Taylor,1,99
Yellow Magic Orchestra,1,60
UB40 & Chrissie Hynde,1,28
Superbs,1,83
UGK,1,70
Yoko Ono,1,58
Tag Team, Mickey, Minnie & Goofy
Young & Restless,1,54
Tom & Jerrio,1,47
Total Coelo,1,66
Ultimate,1,82
T.G. Sheppard & Clint Eastwood,1,62
Ultra Nate,1,75
Tourists,1,83
Ultravox,1,71
Youssou N'Dour & Neneh Cherry,1,98
Uncle Dog,1,86
Yung L.A.,1,47
Tom & Jerry,1,49
Yvonne,1,88
Uncle Sam,1,6
Three..,1,80
Underground Sunshine,1,26
Zac Efron & Vanessa Hudgens,1,98
Tom Clay,1,8
Tight Fit,1,89
Teddy & The Twilights,1,59
Thunderclap Newman,1,37
T.M.G.,1,91
Talib Kweli,1,77
Tim McGraw & Taylor Swift,1,22
Tiana,1,81
Unipop,1,71
Stone Temple Pilots,1,78
Tom Glazer & The Do-Re-Mi Children's Chorus,1,14
Waitresses,1,62
Tom Johnston,1,34
Waldo De Los Rios,1,67
Universal Robot Band,1,93
Walker Bros.,1,16
Stillwater,1,46
Wall of Voodoo,1,58
Unknowns,1,74
Wallflowers,1,73
Upbeats,1,75
Terry Black,1,99
Uptown,1,80
Walter Murphy,1,47
Urban Dance Squad,1,21
Walter Murphy Band,1,44
Urge Overkill,1,59
Walter Wanderley,1,26
Urgent,1,79
Timbuk 3,1,19
Teddy Geiger,1,29
Terry Cashman,1,79
US3,1,9
T.S.U. Toronadoes,1,75
USA for Africa,1,1
Terry Ellis,1,0
Used,1,41
Warren Smith,1,72
Tom Kimmel,1,64
Tompall & The Glaser Brothers,1,92
Usher & Alicia Keys, Beyonce & JD,1
Steve Carlisle,1,65
Usher & Michelle Chamuel,1,98
Wax,1,43
Utah Saints,1,98
Terry Knight & The Pack,1,46
UTFO,1,77
Waylon Jennings & The Kimberlys,1,93
Steve Allen & His Orchestra,1,85
Wayne Massey,1,92
V V Brown,1,67
Toni Fisher,1,37
Tom Northcott,1,88
Swans,1,85
Vacels,1,63
Tony & Joe,1,33
Valadiers,1,89
Weather Girls,1,46
Teddy Pendergrass & Whitney Houston,1,46
Webbie,1,29
Valerie Carr,1,19
Webstar & Young B,1,45
Valerie Simpson,1,63
Sylvia & Ralfi Pagen,1,99
Valiants,1,69
Wendy & Lisa,1,56
Sweet Sable,1,93
Wendy Waldman,1,76
Taja Sevelle,1,62
West Coast Rap All-Stars,1,35
Suave',1,20
Westlife,1,20
Teddy Riley,1,62
Tony Bennett & Amy Winehouse,1,87
Van McCoy & The Soul City Symphony,1,1
Tony Bennett & Ray Coniff,1,49
Sublime,1,87
Tony Burrows,1,87
Teddy Vann,1,76
Tony Camillo's Bazuka,1,10
Van Zant,1,66
Sum 41,1,66
Vandenberg,1,39
Whistling Jack Smith,1,20
Vanessa Anne Hudgens,1,72
Steven Tyler,1,35
Tom Petty & The Heartbreakers & Stevie Nicks,1,37
White Tie Affair,1,57
Tom Powers,1,92
Whitehead Bros.,1,76
Tom Scott,1,80
Sunglows,1,64
Vanessa Williams & Brian McKnight,1,3
Whitney Houston & Deborah Cox,1,70
Vangelis,1,1
Whitney Houston & Mariah Carey,1,15
T.K. Hulin,1,92
Tony Cole,1,97
Tia,1,97
Wild Blue,1,71
Vanilla Ice Introducing Riff,1,52
Thelma Carpenter,1,55
Taka Boom,1,74
Wildfire,1,49
Teenagers,1,6
Tony Dallara,1,60
Vapors,1,36
Tony Harris,1,89
Tegan & Sara,1,90
Sweathog,1,33
Vaughan Brothers,1,65
Tony Lucca,1,58
Vaughan Mason & Crew,1,81
Willa Ford,1,22
Tela,1,58
Sweet Sensation & Romeo J.D,1,14
Vejtables,1,84
Williams Brothers,1,42
Velaires,1,51
Willie Henderson & The Soul Explosions,1,91
Tom Tom Club,1,31
Willie Max,1,49
Vels,1,72
Sunny Sweeney,1,71
Tommy Boyce,1,80
Willis 'The Guard' & Vigorish,1,82
Take That,1,0
Tony Perkins,1,24
Tommy Cash,1,79
Willy Alberti,1,42
Venetians,1,88
Wilson Brothers,1,94
T.S. Monk,1,63
Sunnysiders,1,12
Sudden Change,1,56
Wind,1,28
Tim Rushlow,1,59
Swedish House Mafia,1,6
Tommy Dee,1,11
Wingy Manone & His Orchestra,1,56
Veronica,1,66
Tony Thompson,1,0
Tim Tam & The Turn-Ons,1,76
Third World,1,47
Telepopmusik,1,78
Sunscreem,1,36
Verve,1,12
Wombles,1,55
Verve Pipe,1,5
Wonder Band,1,87
Vesta,1,55
Thirteenth Floor Elevators,1,55
Tempos,1,23
Storey Sisters,1,45
Temprees,1,93
World Class Wreckin' Cru,1,84
Sting & The Police,1,59
Tony Yayo,1,48
Ten Wheel Drive,1,74
Too Short & Lil' Kim,1,90
Vicious,1,0
Sunshine Anderson,1,18
Vicki Anderson & James Brown,1,100
X-Ecutioners,1,85
Suzi Quatro & Chris Norman,1,4
Sunshine Band,1,88
Tenacious D,1,78
Xymox,1,85
Victor Feldman Quartet,1,88
Y&T,1,55
Victor Lundberg,1,10
Yaki Da,1,0
Tommy Facenda,1,28
Thomas & Richard Frost,1,83
Tender Slim,1,93
Yasmeen,1,97
Videls,1,73
Yaz,1,67
Vigrass & Osborne,1,65
Yazz & The Plastic Population,1,96
Vik Venus,1,38
Timmy Shaw,1,41
Tene Williams,1,87
Yellow Balloon,1,25
Taking Back Sunday,1,48
Toronto,1,77
Village Soul Choir,1,55
Torrey Carter,1,86
Sylk-E Fyne,1,6
Yipes,1,68
Steve Martin & The Toot Uncommons,1,17
Steve Dahl & Teenage Radiation,1,58
Vince Guaraldi Trio,1,22
Yolanda Adams,1,57
Vince Martin & The Tarriers,1,9
You Know Who Group,1,43
Vincent Bell,1,31
Young Black Teenagers,1,55
Steelers,1,56
Young Dro,1,10
Stone Poneys,1,13
Young Hearts,1,94
Teri DeSario,1,43
Storm,1,26
Tommy Lee,1,95
Stereos,1,29
Vitamin Z,1,73
Steve Azar,1,35
Vito & The Salutations,1,66
Young-Holt Trio,1,40
Vivian Green,1,39
Youngstown,1,71
Steve Arrington,1,68
Steve Sperry,1,91
Suga Free,1,79
Three Friends,1,89
Tal Bachman,1,14
Yung Wun,1,76
Voices,1,72
Three G's,1,55
Voices of America,1,65
Yvonne Baker & The Sensations,1,69
Tommy Mara,1,76
Yvonne Fair,1,85
Voices That Care,1,11
Thriving Ivory,1,75
Volumes,1,22
Thunder,1,55
Vontastics,1,100
Zach Sobiech,1,26
Voxpoppers,1,18
Zapp,1,86
Voyage,1,41
Zebra,1,61
Voyce,1,77
Zendaya,1,40
Vybe,1,0
Strangers,1,49
Tommy McLain,1,15
T'Pau,1,4
Wackers,1,65
Teen Queens,1,14
Sydney Youngblood,1,46
Tru,1,71
Shirley Caesar,1,91
Revels,1,35
Randy Starr,1,32
Roy Rogers,1,65
Rationals,1,92
Richard Burton,1,64
Silvetti,1,39
Royal Jokers,1,77
Rondels,1,66
Royal Philharmonic Orchestra,1,10
Soupy Sales,1,76
Purple Reign,1,48
Stallion,1,37
Richard Cocciante,1,41
Si Zentner & His Orchestra,1,43
Richard 'Dimples' Fields,1,47
Sinitta,1,84
Ray Barretto,1,17
Sleepy King,1,92
Rozetta Johnson,1,94
Snoop Dogg & Wiz Khalifa,1,7
Reba McEntire & Kelly Clarkson,1,50
Roosevelt Fountain & Pens of Rhythm,1,78
Rubber Rodeo,1,86
QB's Finest,1,26
Richard Hayman & His Orchestra,1,80
Squeak E. Clean,1,85
Rubettes,1,37
Starlets,1,38
Rubicon,1,28
Shop Boyz,1,2
Rubinoos,1,45
Silkie,1,10
Richard Hayman & Jan August,1,11
Rene & Ray,1,79
Richard Maltby & His Orchestra,1,14
Sister Janet Mead,1,4
Queen & David Bowie,1,29
Raconteurs,1,54
Richie Allen,1,90
Sly Stone,1,52
Rude Boys,1,16
Smothers Brothers,1,84
Richie Furay,1,39
Sole,1,21
Ruffneck,1,82
Ronnie Spector,1,77
Rage Against the Machine,1,69
Souls of Mischief,1,72
Richie Havens,1,16
Southwest F.O.B.,1,56
Rufus & Chaka,1,30
Spellbound,1,89
Rebbie Jackson,1,24
Sports,1,45
Rufus Blaq,1,97
Roxanne,1,63
Richie Sambora,1,63
Stanley Clarke & George Duke,1,19
Rugbys,1,24
Remedy,1,66
Rumblers,1,87
Remy Shand,1,89
Rick & The Keens,1,60
Rod Lauren,1,31
Run-D.M.C. & Aerosmith,1,4
RCR,1,94
Rebecca Black,1,58
Silver Condor,1,32
Rupee,1,39
Simon Stokes,1,90
Rick Bowles,1,77
Ray Parker Jr. & Helen Terry,1,96
Rick Cunha,1,61
Raab,1,74
Russ Ballard,1,58
Rachel Sweet,1,72
Russ Hamilton,1,4
Rentals,1,0
Russ Irwin,1,28
Ray Charles & Betty Carter,1,91
Rick Dees,1,75
Slim Whitman,1,93
Russell Arms,1,22
Ron Holden & The Thunderbirds,1,7
Russell Byrd,1,50
Raphael Saadiq & Q-Tip,1,67
Rusted Root,1,0
Reunion,1,8
Rebecca Black & David Days,1,55
So,1,41
Rusty Wier,1,82
Ronnie Laws,1,60
Rusty York,1,77
Ronnie Savoy,1,84
Rebecca Lynn Howard,1,71
Rex Smith & Rachel Sweet,1,32
Rebekah,1,80
Rosco Martinez,1,57
Ryan Duarte,1,81
Sounds of Blackness,1,99
Ryan Leslie,1,95
Souther, Hillman, Furay Band
Rick James & Smokey Robinson,1,43
Spacemen,1,41
RZA,1,60
Special Delivery,1,75
S Club 7,1,10
Rosie Formerly with The Originals,1,66
S.O.A.P.,1,51
Splinter,1,77
Rebel Pebbles,1,42
Springwell,1,60
S.O.U.L. S.Y.S.T.E.M.,1,34
St. Paul,1,52
S.S.O.,1,99
Stage Dolls,1,46
Rebels,1,8
Stan Getz & Charlie Byrd,1,15
Sadat X,1,98
Stardust,1,62
Rick Pinette & Oak,1,36
Stars on 54: Ultra Nate, Amber, Jocelyn Enriquez
Queensryche,1,9
Rockpile,1,51
Records,1,56
Shirley Lewis,1,84
Rick Springfield & Randy Crawford,1,59
Rocky Olson,1,60
Sagat,1,63
Shot In The Dark,1,71
Quarter Notes,1,82
Shyheim,1,89
Ray Sawyer,1,81
Sidekicks,1,55
Saigon Kick,1,12
Silhouettes,1,1
Sailcat,1,12
Silva-Tones,1,86
Saint Tropez,1,49
Silverado,1,92
Ricky Martin & Christina Aguilera,1,13
Simon F,1,91
Ricky Martin & Meja,1,67
Simple E,1,72
Sally Field,1,94
Simpsons,1,69
Ray Sharpe,1,46
Singing Nun,1,1
Ricky Zahnd & The Blue Jeaners,1,21
Sir Chauncey & His Exciting Strings,1,89
Salvage,1,54
Sister 7,1,76
Red River Dave,1,64
Siw Malmkvist – Umberto Marcato,1,58
Rainy Daze,1,70
Skat & The Stray Mob,1,80
Sam Adams,1,90
Skillet,1,100
Sam Brown,1,65
Sky,1,83
Rakim & Ken-Y,1,90
Reparata,1,92
Red Rockers,1,53
The Replacements,1,51
Purple Ribbon All-Stars,1,35
Slim,1,49
Sam Palladio & Clare Bowen,1,92
Romeo's Daughter,1,73
Ray & Bob,1,99
Smart E's,1,60
Quincy Jones & Tevin Campbell,1,75
Smilez & Southstar,1,28
Samantha Barks,1,97
Smokey,1,96
Samantha Cole,1,78
Smokie Norful,1,96
Rihanna & Sean Paul,1,9
Ronnie Caroll,1,91
Quin-Tones,1,18
Snooky Lanson,1,20
Rings,1,75
Revelation,1,98
Red Skelton,1,44
Soft Cell,1,8
Ripple,1,67
Ronnie Height,1,45
Sammie,1,24
Son By Four,1,26
Ral Donner & The Starfires,1,19
Rex Allen,1,17
Ralph Carter,1,95
Ronnie Self,1,63
Rise Against,1,89
Rex Smith,1,10
Ray Bryant,1,89
Roomates,1,49
Sammy Kershaw,1,85
Rosanne Cash,1,22
Sammy Kershaw & Lorrie Morgan,1,86
Soulful Strings,1,64
Sammy Masters,1,64
Sound Factory,1,58
Sammy Salvo,1,23
Reality,1,72
Rita Ora,1,62
South Side Movement,1,61
Sammy Turner & The Twisters,1,100
Southside Johnny & The Jukes,1,98
Rita Pavone,1,26
Space Monkeys,1,58
Sandee,1,49
Spaniels,1,69
Rita Raines,1,89
Sparks & Jane Wiedlin,1,49
Ray Bryant Combo,1,30
Spectacular Cast,1,95
Q-Feel,1,75
Rosie & The Originals,1,5
Ralph DeMarco,1,91
Spin,1,95
Raybon Bros.,1,22
Rough Trade,1,58
Sandy Stewart,1,20
Spokesmen,1,36
Redhead Kingpin & The F.B.I.,1,52
Spose,1,37
Sanford-Townsend Band,1,9
Ric-A-Che,1,97
Santa Esmeralda,1,78
St. Etienne,1,97
Santa Esmeralda Starring Leroy Gomez,1,15
Rovers,1,37
Ralph MacDonald & Bill Withers,1,58
Stacy Lattisaw & Johnny Gill,1,75
Roachford,1,25
Rich Boy,1,6
Road Apples,1,35
Rich Homie Quan,1,50
Redjacks,1,84
Stan Robinson,1,83
Rob Jungklas,1,86
Star Wars Intergalactic Droid Choir & Chorale,1,69
Sara Evans & Vince Gill,1,37
Stark & McBrien,1,85
Sara Ramirez,1,69
Stars On,1,28
Sarah Connor,1,54
Roy Orbison & The Candy Men,1,1
Sarah Dash,1,71
Shirley & Squirrely,1,48
Pusha T & Kanye West,1,89
Remy Ma,1,90
Ram Jam,1,18
Rocky Burnette,1,8
Sarah Vaughan & Billy Eckstine,1,82
Shirley Murdock,1,23
Sarah Vaughan & Hugo Peretti,1,6
Shoes,1,75
Ray J & Yung Berg,1,3
Renato Carosone,1,18
Sarina Paris,1,59
Rod Hart,1,67
Sass Jordan,1,86
Show Stoppers,1,87
Redman & Method Man,1,0
Rod McKuen,1,76
Savage,1,45
Shyne,1,57
Rednex,1,0
Sick Puppies,1,56
Saverio Saridis,1,86
Siedah Garrett,1,97
Saving Abel,1,20
Rod Stewart & Ronald Isley,1,10
Saving Jane,1,31
Rod Stewart & The Temptations,1,10
Reel 2 Real,1,89
Roddie Joy,1,86
Sawyer Brown,1,44
Silver,1,16
Scaffold,1,69
Pure Sugar,1,66
Robbin Thompson Band,1,66
Silversun Pickups,1,92
Reel Tight,1,80
Rodney Crowell,1,37
Scarlett & Black,1,20
Simon Sisters,1,73
Scatman John,1,0
Simon Stokes & The Nighthawks,1,90
ScHoolboy Q,1,92
Rodney Dangerfield,1,83
Schoolboys,1,91
Rodway,1,83
Reeve Carney,1,74
Sims Twins,1,42
Robert Ellis Orrall & Carlene Carter,1,32
Singing Belles,1,91
Scott Garrett,1,92
Single Bullet Theory,1,78
Robert Gordon,1,76
Scotty Emerick & Toby Keith,1,91
Roger Hodgson,1,48
Robert Gordon & Link Wray,1,83
Roger Smith,1,64
Ray Kennedy,1,82
Roger Voudouris,1,21
Robert Hazard,1,58
Randy Newman & Paul Simon,1,51
Sea Level,1,50
Roger Whittaker,1,19
R. Kelly & Celine Dion,1,1
Ska Kings,1,98
Ray LaMontagne,1,90
Skee-Lo,1,0
Rampage,1,34
Roger Williams & Jane Morgan,1,41
Sean Kingston & Justin Bieber,1,15
Skindeep,1,92
Ramrods,1,30
Rollers,1,80
Pyramids,1,18
Skylark,1,9
Seatrain,1,49
Ready Set,1,27
Robert Maxwell His Harp & Orchestra,1,15
Slades,1,42
Secret Ties,1,91
Slaughterhouse,1,98
Secrets,1,18
Sleepy Brown,1,40
Robert Maxwell, His Harp & Orchestra,1
Slick Rick,1,87
Refugee Camp All Stars,1,35
Romeo Void,1,35
Reg Owen & His Orchestra,1,10
Romeos,1,67
Rayvon,1,94
Ron & The D.C. Crew,1,93
Seiko & Donnie Wahlberg,1,54
QT,1,94
Selena,1,0
Ron Goodwin & His Orchestra,1,52
Regina,1,10
Smif-N-Wessun,1,93
Selena Gomez & Demi Lovato,1,82
Ronald & Ruby,1,20
Razor's Edge,1,77
Smoke Ring,1,85
Senator Bobby,1,20
Ron-Dels,1,97
Senator Bobby & Senator McKinley,1,99
Real Thing,1,64
Senator Everett McKinley Dirksen,1,29
Ronnie & The Hi-Lites,1,16
Regina Spektor,1,51
Snail,1,93
R. Kelly & Usher,1,20
Reuben Howell,1,86
Ramsey Lewis & Earth Wind & Fire,1,44
Sniff 'n' The Tears,1,15
Serj Tankian,1,97
Rapination & Kym Mazelle,1,97
Seven Mary Three,1,39
Rev. Martin Luther King,1,88
Sevilles,1,84
Snuff,1,88
Sevyn Streeter,1,30
Sofia Shinas,1,75
S-Express,1,91
Soho,1,14
SGH Mocca Soul,1,99
Ronnie Hawkins & The Hawks,1,26
Rehab,1,64
Soluna,1,72
Roberta Flack & Maxi Priest,1,6
Ronnie Love & His Orchestra,1,72
Shacklefords,1,70
Sonique,1,8
Roberta Flack & Peabo Bryson,1,16
Python Lee Jackson,1,56
Roberta Sherwood,1,57
Q,1,23
Robey,1,77
Sonny James The Southern Gentlman,1,65
Shae Jones,1,88
Sonny Spencer,1,82
Robin George,1,92
Sons of Funk,1,97
Reina,1,96
Ronny Douglas,1,75
Robin Lane & The Chartbusters,1,87
Soul Brothers Six,1,91
Shakin' Stevens,1,67
Soul Clan,1,91
Ramsey Lewis & Earth, Wind & Fire,1
Rhinoceros,1,46
Robin Luke,1,5
Rosco Gordon,1,64
Shamen,1,38
SoulDecision,1,22
Shamus M'Cool,1,80
Rosco Robinson,1,62
Reiss,1,90
Soulsister,1,41
Shane Minor,1,82
Soundgarden,1,96
Shango,1,57
Sounds of Sunshine,1,39
Ran-Dells,1,16
Rhythm Syndicate,1,73
Rej3ctz,1,97
Rose Garden,1,17
Rejoice,1,96
Southcote,1,80
Shanice Wilson,1,50
Southside Johnny & The Asbury Jukes,1,71
Robin Trower,1,82
Southsyde B.O.I.Z.,1,96
Robin Ward,1,14
Space,1,60
Shaquille O'Neal, Ice Cube, B Real
Spacehog,1,32
Shareefa,1,62
Ribbons,1,81
Sharissa,1,72
Spanish Fly,1,0
Robins,1,79
Sparks,1,60
Sharon Paige & Harold Melvin & The Blue Notes,1,42
Spats,1,96
Sharpees,1,79
Special Generation,1,91
Razzy,1,67
Quaker City Boys,1,39
Roc Project,1,97
Spencer & Spencer,1,91
Shawn Colvin,1,7
Spencer Ross,1,13
Shawn Mullins,1,7
Ross Lynch, Grace Phipps & Jason Evigan,1
Rocco Granata & The International Quintet,1,31
Rossington Collins Band,1,55
Shawn Stockman,1,45
Rotary Connection,1,96
Rochell & The Candles,1,26
Splender,1,62
Shawty Lo,1,31
Split Enz,1,53
Rock & Hyde,1,61
Sponge,1,0
Rock & Roll Duble Bubble Trading Card Company of Philadelphia,1,74
Sporty Thievz,1,12
Randy Bell,1,90
Roula,1,0
Randy Brown,1,72
Round Robin,1,61
Sheep,1,58
Spys,1,82
Sheila,1,49
Ricardo Ray,1,90
Rock Flowers,1,95
St. Lunatics,1,88
Rock Heroes,1,29
Stabilizers,1,93
Rock-A-Teens,1,16
Rowans,1,74
Shells,1,21
Raelets,1,76
Rell,1,86
Staff Sergeant Barry Sadler,1,28
Rockell & Collage,1,59
Stagga Lee,1,91
Sherbet,1,61
Stairsteps,1,81
Sherbs,1,61
Rich Gang,1,44
Qkumba Zoo,1,69
Stan Getz & Astrud Gilberto,1,5
Sherrie Austin,1,89
Stan Kenton,1,32
Rockie Robbins,1,80
Roy Drusky,1,35
Randy Edelman,1,92
Rattles,1,79
Sheryl Crow & Sting,1,33
Richard & The Young Lions,1,99
Richard Barrett,1,94
Shields,1,12
Richard Barrett & The Chantels,1,93
Shindogs,1,91
Raes,1,61
Rockin' Rebels,1,87
Roy Orbison & Emmylou Harris,1,55
Shins,1,86
Raven-Symone,1,68
Rockin R's,1,57
Roy Orbison & The Teen Kings,1,59
RockMafia,1,98
Megadeth,1,71
MC Nas-D & DJ Fred,1,96
Pete Klint Quintet,1,98
Nicola Paone,1,57
Preludes Five,1,80
Nicole,1,5
Mike Sharpe,1,57
Nicole Renee,1,83
PG&E,1,97
Mulberry Lane,1,99
P-Nut Gallery,1,62
Michael Franti & Spearhead,1,18
MC5,1,82
Monchy & Alexandra,1,92
Paula Abdul & The Wild Pair,1,1
Mungo Jerry,1,3
Percells,1,53
Murmaids,1,3
Peter Lind Hayes & Mary Healy,1,57
Michael Gore,1,84
Phill Wilson,1,91
