,Artist,Year Inducted,Years Waited,# of Years Nominated,Influenced,Certified Units (Millions),Albums in RS500,Top 100 Singles,Highest Position,Times on Cover of RS,Score,In_Out
194,Jackie Wilson,1987.0,1,2,16.0,0.0,1.0,53.0,4.0,0.0,3.39,1
195,Wilson Pickett,1991.0,2,3,15.0,0.0,0.0,38.0,6.0,0.0,3.18,1
196,Solomon Burke,2001.0,15,10,14.0,0.0,0.0,26.0,22.0,0.0,3.38,1
197,Big Joe Turner,1987.0,1,2,15.0,0.0,0.0,2.0,41.0,0.0,3.33,1
198,The Dells,2004.0,13,3,15.0,0.0,0.0,24.0,10.0,0.0,3.19,1
199,Jimmy Reed,1991.0,5,6,15.0,0.0,0.0,12.0,32.0,0.0,3.67,1
200,Ruth Brown,1993.0,7,6,15.0,0.0,0.0,7.0,24.0,0.0,3.27,1
201,Gene Vincent,1998.0,12,7,15.0,0.0,0.0,5.0,7.0,0.0,3.38,1
202,The Impressions,1991.0,2,3,15.0,0.0,1.0,38.0,4.0,0.0,3.4,1
203,Bill Haley,1987.0,1,2,14.0,0.0,0.0,22.0,1.0,0.0,2.94,1
204,Laura Nyro,2012.0,19,3,14.0,0.0,0.0,1.0,92.0,0.0,3.75,1
205,Booker T. and the M.G.'s,1992.0,4,3,14.0,0.0,0.0,17.0,3.0,0.0,3.33,1
206,John Lee Hooker,1991.0,5,1,19.0,0.0,1.0,1.0,60.0,0.0,3.49,1
207,Dion,1989.0,3,3,13.0,0.0,0.0,30.0,1.0,0.0,3.19,1
208,Traffic,2004.0,11,1,15.0,0.0,0.0,3.0,74.0,0.0,3.69,1
209,Eddie Cochran,1987.0,1,2,15.0,0.0,0.0,7.0,8.0,0.0,3.29,1
210,Etta James,1993.0,7,2,21.0,0.0,1.0,26.0,23.0,0.0,3.36,1
211,Tom Waits,2011.0,12,1,134.0,0.0,3.0,0.0,0.0,0.0,3.91,1
212,Bob Marley,1994.0,3,2,165.0,0.0,5.0,1.0,51.0,3.0,4.35,1
213,Sam Cooke,1986.0,0,1,178.0,0.0,2.0,43.0,1.0,1.0,3.5,1
